desc,variable,value
JSL雜錦禮盒,scode,TEAM-JIA008
JSP Nano Vibrational pad (大),scode,0000245
"King's Cane八角型手杖, 古桐色",scode,MS0003
"King's Cane八角型手杖, 黑色",scode,MS0005
"King's Cane八角型手杖, 藍色",scode,MS0004
"King's Cane電子智能手杖, 電筒及聲響 - 古桐色 (不包電池)",scode,0000143
"King's Cane電子智能手杖, 電筒及聲響 - 藍色 (不包電池)",scode,0000144
"King's Cane電子智能手杖, 電筒及聲響 - 藍色 (不包電池)(N)",scode,0000144N
Latex Powered,scode,JSM-4388
Listra 3/4墊 (細碼),scode,0000188
Listra 3/4墊 (細碼)(N),scode,0000188N
Listra Heel Cup 足跟墊 (L),scode,RT00002
Listra Heel Cup足跟墊 (M),scode,RT00001
Listra(M),scode,0000181
Listra3/4墊 (L),scode,RT000000011
Listra3/4墊 (M),scode,RT000000012
Listra全墊 (L),scode,RT000000004
Listra全墊 (M),scode,RT000000003
Listra全墊 (s),scode,RT000000005
Listra全墊 (XL),scode,RT000000001
Listra全墊 (XS),scode,RT000000006
Listra足眼墊 (中碼)(N),scode,0000185N
Liveup 足/手腕 練力沙包,scode,IC3003
MAMY米長通粉,scode,GBF-TM2088
MAMY米螺絲粉,scode,GBF-TM2086
MAMY快食河粉,scode,GBF-TM2092
MAMY快食粉絲,scode,GBF-TM2068
MAMY快食糙米粉,scode,GBF-TM2082
MEDICOM 濕紙巾  64'S      ( 230mmx330mm),scode,0000037
MEDISENSE Optium 50,scode,O000003
Medium Universal Therapy Wrap 多用途冷熱貼(中細),scode,0000002
MIA 護腳部 # 1010 Toe Spreader,scode,0000196
MIA 護腳部 # 1020 Toe Separator,scode,0000197
MIA 護腳部 # 1030 Bunion Shield,scode,0000198
MIA 護腳部 # 1040 Toe Cushion,scode,0000199
MIA 護腳部 # 1050 Forefoot Cushion,scode,0000200
MIA前掌墊 (特別柔軟),scode,0001025
Microlife-BPA200 Blood Pressure Monitor 瑞士Microlife血壓計,scode,4719003310530
Microlife血壓計,scode,ECO-3003
Microlife血壓計BP3AQ1,scode,IC2001
"Muliti-Purpose Therapy Gel Pack Box  4.5"" x 10.5"" with cover",scode,0000006
"Muliti-Purpose Therapy Gel Pack Box  4.5"" x 10.5"" with cover",scode,ABC00020
Multi-Purpose Therapy Wrap 多用途冷熱貼,scode,ABC0005
Neck Rest (Large) 頸圈 (大),scode,0000009
Neck Rest (Regular) 頸圈,scode,0000008
NEW日本內褲型防漏邊尿片,scode,0000260
NEW日本內褲型防漏邊尿片,scode,0000262
NEW日本內褲型防漏邊尿片L,scode,WH0002
NEW日本內褲型防漏邊尿片M,scode,WH0003
NOVOFINE筆針咀8mm,scode,O000002
NP COMFY EYE REFRESHER,scode,NP643
NP FLEXPOW FOOT COMFORTER,scode,NP667
NRS英國穿襪器,scode,A0000104
OFA AD 壓力襪-三骨 肉色 (中碼),scode,0001026
"OFA AD 壓力襪三骨 黑色 (中碼) COLSE"" 2""                     ",scode,0000206
OFA AD 壓力襪四骨 黑色 (大碼) (280丹),scode,0000208
OFA AD 壓力襪四骨 黑色 (中碼) (280丹),scode,0000207
OFARM泰國有機香糙米1kg,scode,OFARM591
OFARM純黑芝麻,scode,OFARM2008
OFARM純黑芝麻粉,scode,OFARM0082
OMRON歐姆龍手臂式血壓計7051,scode,NS-HEM-7051
OMRON歐姆龍簡易探熱器,scode,NS-MC-246
One-Touch電動開罐器 (特別版),scode,0000084
organic coconut oil,scode,LCL1001
ORGANNIC MIXED RICE,scode,OFARM200801
OTULTRAEASY血糖測試機（贈品）,scode,JJ02135601
Pals 896 230 Gel Pand Oval(4X6cm) 4pcs,scode,RT00523
Pals Gel-Pad (4x6 cm)細?喱貼,scode,0000195
PIC Cream foot care diaetes,scode,PIC068771000
PIC One Check 手臂式電子血壓計,scode,0000266
PIC 胰島素注射筆針頭 (6mm),scode,WH-0000269
PIC 胰島素注射筆針頭 32G(4mm),scode,PIC022620000
PIC 胰島素注射筆針頭31G (8mm),scode,PIC229840000
PIC 胰島素注射筆針頭32G (6mm),scode,PIC229830000
PIC 胰島素注射筆針頭32G (8mm),scode,PIC8003670863922
PIC 胰島素注射筆針頭32G Sample (4mm),scode,PIC990200209
PIC 胰島素注射筆針頭32G Sample (6mm),scode,PIC990200009
PIC 胰島素注射筆針頭32G Sample (8mm),scode,PIC990200109
PIC 胰島素注射筆針頭33G (4mm),scode,PIC022640000
PIC 胰島素注射筆針頭33G Sample (4mm),scode,PIC990200309
PIC胰島素注射筆針頭G31x5mm(100s/box),scode,8003670913825
PIC胰島素注射筆針頭G31x8mm(100s/box),scode,8003670072034
QILLION ARTHRITIS WRAP,scode,4895184103991
R & R  Decubitus Ulcer Cushion,scode,RT000000583
R&R SU-8402 Air Rest Back Cushion座墊,scode,RT0000211
R&R SU-8402 Air Rest Back Cusion,scode,00582
R&R 冷熱肩墊敷 (SP-7207B) ( 42 X 36.6 CM),scode,0001024
R&R 冷熱肩墊敷 (SP-7207B) Cold/Hot Compress Pack( 42 X 36.5,scode,RT0000212
R&R 冷熱墊敷 (SP-7200),scode,0000212
R&R 冷熱墊敷 (SP-7200),scode,0001022
R&R 冷熱墊敷 (SP-7201) (28 X 12 CM),scode,0001023
R&R 冷熱墊敷 (SP-7201) Cold/Hot Pack(28 X 11 CM),scode,RT0000213
R&R 冷熱墊敷 (SP-7203) (32.5 X 18 CM),scode,0000214
R&R冷熱肩28X11cm,scode,RT0101
Robust (RB-1842) 加大碼,scode,000166XL
Robust RB-1714 多功能磁波健美帶 (M),scode,RT00021
Robust RB-1714 多功能磁波健美帶 (大碼),scode,RT00020
Robust RB-1714 多功能磁波健美帶 (加大碼),scode,RT00019
Robust RB-1714 多功能磁波健美帶 (細碼),scode,0000238
Robust RB-1845 遠紅外線背姿矯正帶 (大碼),scode,RT00017L
Robust RB-1845 遠紅外線背姿矯正帶 (中碼),scode,RT00016
Robust RB-1845 遠紅外線背姿矯正帶 (加大碼),scode,RT00018
Robust RB-1845 遠紅外線背姿矯正帶 (細碼),scode,RT00017
Robust 護肘  (RB-1842) 加大碼,scode,RT0000222
Robust 護肘 (RB-1842) 大碼,scode,00000165
Robust 護肘 (RB-1842) 大碼,scode,RT0000220
Robust 護肘 (RB-1842) 中碼,scode,RT000166
Robust 護腕 (RB-1841),scode,RT0000219
Robust 護膝  (RB-1842) 大碼,scode,RT00011
Robust 護膝  (RB-1842) 中碼,scode,RT00009
Robust 護膝  (RB-1842) 細碼,scode,0000226
Robust 護膝 (RB-1843) 加大碼,scode,RT00010
Robust 護踝 (RB-1844) 大碼,scode,RT00013
Robust 護踝 (RB-1844) 中碼,scode,RT00014
Robust 護踝 (RB-1844) 加大碼,scode,RT00012
Robust 護踝 (RB-1844) 細碼,scode,RT00015
ROCK TRADExl,scode,RT-201612
ROU02E長者八達通手錶-鋼,scode,SS-RUO2E
RUO03E長者八達通手錶-sparking silver,scode,SS-RUO03E
Sate Container For Sharps Box,scode,PIC229940000
SHARP LCD TV,scode,7000040
Shrimp Cracker蝦餅,scode,32055665
SILICON 矽膠3/4 鞋墊L,scode,SP-I-90840
SILICON 矽膠全墊39-40,scode,MC-SP-I-90840
SILICON足跟墊（大）,scode,0000165
Silicon足跟墊S,scode,SHC6666
Sleeping Mat,scode,NP900
Small Universal Therapy Wrap 多用途冷熱貼(細),scode,0000001
SMartSilver指式脈搏血氧儀,scode,CH2140145
Soft Collar,scode,RT31239
Sole-初榨橄欖油500ml,scode,8005305900576
SS長者八達通手錶-間玫瑰金,scode,SS02E
SS長者八達通手錶-鋼（L）,scode,SS01E
SS長者八達通手錶-鋼（L）,scode,SS04E
SS長者八達通手錶-鋼Classic,scode,SS01EN
SS長者八達通手錶-鋼MOP,scode,SS03E
Takale 遠紅外線熱墊,scode,RT-000000575
Takale 遠紅外線熱墊(N),scode,0000202N
Tartufi Nacci 黑松露醬180g,scode,846112000155
Tartufi Nacci白松露牛油80g,scode,846112000151
TASTER,scode,S9000
Titiania&Puma腳磨石,scode,AT01
titiania指甲鉗,scode,AT03
Titiania腳部潤膚膏250ML(5346),scode,AT05
TITIANIA腳部護理套裝,scode,AT02
Titiania腳跟龜裂膏(5309),scode,AT06
"Titiania鞋部噴霧200ML, 5330",scode,AT04
T-型可折疊拐杖,scode,0001018
UPEC Ultracal,scode,M0012
U型沐浴椅,scode,JM-HE-1067
Verta fit Air Back Cusion 護背吹氣墊,scode,RT00007
VIRJOY 紙巾*10,scode,TH-Y212VE
VIRJOY四卷裝萬用抹手紙,scode,VIRJOY01
Wash Foot Care Diabetes,scode,PIC068773000
WOLKE 7 Full Insole 全墊 (M),scode,RT000000731
Wolke 7 Full Insole 全墊 (XL),scode,RT000000737
Wolke 7 Full Insole 全墊（L),scode,RT000000732
Wolke 7 Full Insole 全墊（S),scode,RT000000734
Wolke 7 Full Insole 全墊（XS）,scode,RT000000733
Wolke 7 Full Insole全墊(XL),scode,0001501
YOUC1000維他命水（香橙）500ml,scode,QM0678
YOUC1000維他命水（檸檬）500ml,scode,QM0677
YOUC1000維他命飲品（香橙）140ml,scode,QM1002
YOUC1000維他命飲品（檸檬）140ml,scode,QM0999
YOUC1000維他命飲品（蘋果）140ml,scode,QK9978
一口花菇300g,scode,IPN05
一口酥,scode,32990546
一級幫厚型尿褲M-L,scode,CH009
七一回歸福袋,scode,2013070101
七天二十八格掀蓋式藥盒,scode,ID-MB001
七天二十八格彈出式藥盒,scode,ID-MB002
七日藥盒(一排裝),scode,0000166
人蔘蜜棗茶,scode,32180091
人體工學腰墊,scode,WH-HUM002A
八角型環保手杖 什色,scode,MS0003A
八達通表AK02C,scode,SS-AK02C
八達通表AK03C,scode,SS-AK03C
八達通表FR01C,scode,SS-TF01C
八達通表KT02C,scode,SS-KT02C
八達通表TF03C,scode,SS-TF03C
十全有機味增,scode,4710783052184
十全米醋240ml,scode,4710783088725
十全即飲果醋140ml（青梅）24包/箱,scode,TEAM04
十全即飲果醋140ml（葡萄）24包/箱,scode,TEAM02
十全即飲果醋140ml（蜜桃）24包/箱,scode,TEAM03
十全即飲果醋140ml（鳳梨）24包/箱,scode,TEAM05
十全即飲果醋140ml（蘋果）24包/箱,scode,TEAM01
十全豆豉香魚辣椒110g,scode,4710783063074
十全金鉤朝天辣椒110g,scode,4710783063043
十全紅菊腐乳,scode,NSF106
十全烏醋240ml,scode,4710783088824
十全高粱醋,scode,NSF117
十全-陳年醋600ml,scode,4710783066624
十全-黑芝麻油,scode,4710783066419
十全蒜蓉朝天辣椒,scode,4710783063128
十全辣豆瓣130g,scode,4710783088497
十全辣椒油100ml,scode,4710783066112
十全辣椒油500ml,scode,NSF105
十全辣椒醬130g,scode,4710783088480
卜立有機紅藜麥面240g,scode,TEAM-TAI112
卜立紅豆水16包入,scode,TEAM-TAI085
三吋雙人連鐵架床(愛心咭代訂),scode,8000001
三色堅果（袋裝）,scode,4713282763209
三色提子乾（袋裝）,scode,4713282763148
三花柏齡（800g）,scode,M0101
三花柏齡1.7L,scode,M0016
三花柏齡1.8kg,scode,M0004
三星蔥鮮蛋卷,scode,TEAM-SNL084
三層口罩（50個/盒）,scode,0000036
三層外科口罩50pcs/Box,scode,ID-FM001
三層外科口罩50psc/box(獨立包裝）,scode,ID-FM001-1
三機有機大燕麥片,scode,LCL0033
凡士林,scode,3800026
口罩 (一盒 50 個? ),scode,0000087
土芒果青鮮果乾,scode,32054446
土芭樂茶,scode,4712417850036
土芭樂茶,scode,4713327001716
士的掛鉤,scode,9101
"大四爪拐杖 , 可詷較高度",scode,0000272
大同牌干貝醬（優惠裝）,scode,4710883104288
大同辣椒醬,scode,NSF120
大同蔭油膏(素蠔油）,scode,4710883102741
大地采護髮粉(紅褐)#1,scode,35010043
大地采護髮粉(棕咖啡)#2,scode,35010050
大地采護髮粉(黑咖啡)#3,scode,35010036
大紅紋,scode,0000140
大馬士革玫瑰花綠茶,scode,4712834114339
"大幅冷熱貼 ( 10"" x 15"")                                     ",scode,0000007
小地雷足部按摩器,scode,RT13954
小紅梅粉,scode,LCL0016
小麥胚芽（鈺統）500g,scode,32191622
小麥胚芽餅,scode,OFARM1711
小麥餐具三件套,scode,GREENSPARK-02
小麻酥,scode,32040937
小碳包,scode,GHSE1121
小蘇打,scode,GW-0001
山里友壓縮黑木耳（25克X10盒）,scode,NK005
山藥紅薏仁粉,scode,LCL0009
山藥精華,scode,LCL6583
山藥養生燕麥粉,scode,4713327124088
山藥薏仁粉（12小包）,scode,4710960911082
山藥薏仁粉（獨立小包）,scode,4710960761083
山藥薏仁粉400g,scode,OFARM-1051
中興米（禮品裝）,scode,RICE
丹麥高級成人尿片,scode,JSM-ABAM2
五木銀絲麵,scode,32020212
五谷米,scode,43398111147
五穀雜糧瑪仔,scode,32053098
五轂米（1.2kg）,scode,4710871000899
什錦大燕麥,scode,LCL0032A
仁愛堂環保肥皂（三色）,scode,SOUP01
元豆有機黑豆漿,scode,32180947
元氣小滾輪按摩器,scode,RT00023
六味青草海燕窩,scode,4712834112441
天星牌花卉種子,scode,ML05
天星牌香草種子,scode,ML04
天然GABA佳葉龍茶 - 無農葯栽培,scode,32190519
天然小紅莓,scode,0001114
天然小麥草,scode,LCL00021
天然小麥草,scode,LCL0021
天然加味四物料,scode,32240528
天然甘蔗汁 320ml,scode,32181050
天然皮蛋,scode,0001120
天然皮蛋,scode,4713720001795
天然有機醬油,scode,NK004
天然死海礦物浴鹽,scode,NICE-RT015
天然沐浴乳,scode,35010661
天然亞麻仁籽,scode,4713282760628
天然洋芋卷,scode,32054958
天然洗衣皂,scode,35020226
天然秋葵乾,scode,GT9068
天然紅石榴西梅汁,scode,32181579
天然紅石榴車厘子汁,scode,32181340
天然紅石榴藍莓汁,scode,32181357
天然原焗美國杏仁（無鹽）,scode,OFARM941
天然原焗腰果,scode,OFARM931
天然海鹽,scode,0001111
天然純杏仁粉400g,scode,OFARM072
天然純紅石榴汁,scode,32181210
天然高鈣多轂燕麥奶800g,scode,OFARM1761
天然高鈣高纖燕麥奶800g,scode,OFARM1611
天然超大葡萄乾(無籽),scode,32060645
天然黃豆,scode,32080018
天然黃金穀粉,scode,32191295
天然黑麥片,scode,LCL0014
天然黑麥汁,scode,32180244
天然黑櫻桃乾,scode,32060706
天然補氣茶,scode,32240382
天然酵母野菜餅,scode,LCL905
天然蔓越莓乾,scode,32060638
天然養生露,scode,32180077
天然燕麥麩粒,scode,LCL0015
天然檜木精油,scode,34040010
天然礦物修護手霜,scode,NICE-RT014
天然蘆薈牙膏,scode,T-A006
天然蘆薈柔濕紙,scode,WH00026
天然蘆薈凝膠,scode,T-A005
天然蘿蔔乾 - 無農葯栽培,scode,32140200
太陽能手電筒,scode,0001100
心之花露水100ml（薰衣草）,scode,0000046
心型皂,scode,GW005
心意手機,scode,0001094
手工米旦卷禮盒咖啡味,scode,32990478
手工米旦卷禮盒芝麻味,scode,32990485
文化村全自動手臂式電子血壓計,scode,CH02030044
文化村長通粉  500g,scode,0000020
文化村指式脈搏血氧儀,scode,CH0016
文化村輕便手推輪椅,scode,CH01030120
文化面-意粉500g,scode,CH05120047
文旦柚茶,scode,32191318
文旦柚酥 (5件),scode,32052633
文具套裝（1尺+1擦膠+1得意水筆）,scode,GIFT201701
方塊酥,scode,32040036
方塊酥（新包裝）,scode,32041606
日月潭紅茶小黑糖,scode,4712834112496
日本一級幫內褲型中碼（金裝）成人紙尿褲（10片）,scode,CH01010147
日本一級幫內褲型成人紙尿褲(金裝)大碼(16片/包),scode,CH0012
日本一級幫內褲型成人紙尿褲(金裝)中碼(18片/包),scode,CH0011
日本一級幫內褲型成人紙尿褲(金裝獨立包-贈品)大碼,scode,CH0012U
日本一級幫內褲型成人紙尿褲(金裝獨立包-贈品)中碼,scode,CH0011U
日本一級幫內褲型成人紙尿褲(薄型)大碼(14片/包),scode,CH0010
日本一級幫內褲型成人紙尿褲(薄型)中碼(16片/包),scode,CH0009
日本一級幫內褲型成人紙尿褲(薄型獨立包)中碼,scode,0001014U
日本一級幫內褲型成人紙尿褲(薄型獨立包-贈品)大碼,scode,CH0010U
日本保達紙尿褲--中碼,scode,0000105
日本保達紙尿褲--細碼,scode,0000106
日本喜舒樂成人紙尿褲(厚裝)-中碼,scode,CH0019
日本喜舒樂成人紙尿褲-大碼,scode,97A
日本喜舒樂成人紙尿褲-大碼,scode,CH10198
日本喜舒樂成人紙尿褲-中碼,scode,CH0019A
水晶肥皂食器洗滌液体,scode,35020219
水晶肥皂粉體,scode,35020172
水晶肥皂液體,scode,35020202
水晶肥皂液體補充包,scode,35020295
水蜜桃鳳梨茶,scode,4712834113523
牛油曲奇餅,scode,GBF5021
牛油粟米,scode,CORN01
牛軋糖250g,scode,4711402033065
牛蒡片,scode,LCL0041
牛蒡原片 100g,scode,32053197
牛蒡茶,scode,4713327001723
牛蒡茶450g,scode,4712679010087
牛蒡粥,scode,LCL0005
牛蒡黑豆茶（無糖）,scode,4712417850241
仙草凍340g,scode,32056075
仙草軟糖,scode,32052770
仙草龜苓膏,scode,4710960918180
以倫天然桑椹原汁(無糖) - 無農葯栽培,scode,32240696
以倫有機桑椹原汁,scode,32240863
冬蜜,scode,T-H002
冬蔭功糙米條,scode,TX3218
冬蔭功糙米條,scode,TX3319
加拿大OBUS FORME高背墊,scode,OBUSFORME
包裝費,scode,PACK201709
北海道昆布,scode,32170092
古銅色四爪拐杖可詷高低,scode,WH0005
可切藥丸盒,scode,0000018
可拆背細轆輪椅,scode,FHW-T17-18
"可摺助行架雙扣""5"" (W62CMXH78-96CM)                          ",scode,600001
台灣山藥粉,scode,LCL0011
台灣肉醬,scode,LCL0017
台灣芒果乾,scode,32051667
台灣阿里山有機黑木耳-150g,scode,4713327255942
台灣氣墊床褥,scode,JML-V2
台灣破壁花粉125g,scode,4710812632417
台灣破壁蜂花粉 - 125g,scode,4710821632417
台灣排裝果醋（青梅）,scode,SUN0002
台灣排裝果醋（蜜桃）,scode,SUN0001
台灣排裝果醋（鳳梨）,scode,SUN0003
台灣極品洛神烏梅飲,scode,OFARM2000
台灣蜂王漿酵素 - 750ml,scode,4710587312460
台灣蜂王漿膠囊 (50粒),scode,4710821632400
台灣蜂花粉酵素 - 750ml,scode,4710587312477
台灣銀川有機白米1.2kg,scode,TEAM-YIC009
台灣銀川有機糙米1.2kg,scode,TEAM-YIC010
四川豆豉380g,scode,4710883100020
四川豆瓣醬,scode,4710883100075
四川豆瓣醬,scode,4710883100082
四爪拐杖,scode,MS0015
"四爪拐杖  ,可詷較高度  ,內闊 (5""X4"")                        ",scode,0000273
四物小黑糖,scode,4712834112489
四腳拐杖,scode,0001019
"失禁床墊 (丹麥ABENA 附18""護翼, 藍色)                        ",scode,0000103
奶鹽梳打餅,scode,LCL0050
巧克力米酥,scode,32054347
巧克力夾心酥,scode,32040951
布田芝麻糖,scode,32052381
布田花生糖,scode,32052398
布藝炭包 ( 250 克 ),scode,CHQ8040
必妥碘冰涼消毒漱口水,scode,BETADINE02
必妥碘消毒燙火膏,scode,BETADINE03
必妥碘傷口殺菌液,scode,BETADINE01
正冬蜜  (1000gm),scode,PSY0001
正冬蜜  (500gm),scode,0000172
永升手腕式血壓計,scode,SEIL024
永昇圃洗衣粉,scode,35020059
玉米牛奶燕麥早餐（試食裝）,scode,4713398680018
玉米湯,scode,LCL0006
生機蘇打餅（CHIA SEED）,scode,4713435206867
生機蘇打餅（黑芝麻）,scode,4713435206935
生機蘇打餅（黑椒岩鹽）,scode,4713435206942
白木耳,scode,32150872
白貝木耳絲,scode,INP06
白芝麻粒,scode,32070019
白芝麻醬,scode,32110203
白金竹炭珍珠蜂膠牙膏,scode,0001042
白金竹炭珍珠蜂膠牙膏,scode,CHQ8048
白金竹炭珍珠蜂膠洗髮精,scode,0001043
白金竹炭珍珠蜂膠洗髮精,scode,CHQ0000053
白金竹炭蜂蜜珍珠皂,scode,0001041
白金竹炭蜂蜜珍珠皂,scode,CHQ8049
白話梅肉,scode,4710372950679
皮革亮潔布,scode,ECO108
皮得露（1L),scode,QV-11603
皮得露(200ml),scode,9314839000034
皮得露1L,scode,QV-011603
皮得露500ML,scode,QV-011602
皮得露沐浴油 200ml,scode,0000123
皮得露浴露 500ml,scode,0000122
皮得露浴露1000ml,scode,0000124
