scode,bcode,bcode2,desc
0000143,000101,,"King's Cane電子智能手杖, 電筒及聲響 - 古桐色 (不包電池)"
0000144,000102,,"King's Cane電子智能手杖, 電筒及聲響 - 藍色 (不包電池)"
0000144N,000102N,,"King's Cane電子智能手杖, 電筒及聲響 - 藍色 (不包電池)(N)"
JSM-4388,,,Latex Powered
0000188,000135,,Listra 3/4墊 (細碼)
0000188N,000135N,,Listra 3/4墊 (細碼)(N)
RT00002,RT00002,000131,Listra Heel Cup 足跟墊 (L)
RT00001,,,Listra Heel Cup足跟墊 (M)
0000181,,,Listra(M)
RT000000011,RT000000011,000133,Listra3/4墊 (L)
RT000000012,000134,RT0000187,Listra3/4墊 (M)
RT000000004,RT-00004,RT0004,Listra全墊 (L)
RT000000003,RT0000181,000128,Listra全墊 (M)
RT000000005,RT0002,RT00003,Listra全墊 (s)
RT000000001,RT000000001,000126,Listra全墊 (XL)
RT000000006,RT000000006,0000183,Listra全墊 (XS)
0000185N,000132N,,Listra足眼墊 (中碼)(N)
IC3003,6951376126075,6951376126075,Liveup 足/手腕 練力沙包
GBF-TM2088,8851876010301,,MAMY米長通粉
GBF-TM2086,8851876010318,,MAMY米螺絲粉
GBF-TM2092,8851876001378,8851876001378,MAMY快食河粉
GBF-TM2068,8851876003136,,MAMY快食粉絲
GBF-TM2082,8851876000258,8851876000142,MAMY快食糙米粉
0000037,4897008631543,,MEDICOM 濕紙巾  64'S      ( 230mmx330mm)
O000003,,,MEDISENSE Optium 50
0000002,000002,,Medium Universal Therapy Wrap 多用途冷熱貼(中細)
0000196,000142,,MIA 護腳部 # 1010 Toe Spreader
0000197,000143,,MIA 護腳部 # 1020 Toe Separator
0000198,000144,,MIA 護腳部 # 1030 Bunion Shield
0000199,000145,,MIA 護腳部 # 1040 Toe Cushion
0000200,000146,,MIA 護腳部 # 1050 Forefoot Cushion
0001025,,,MIA前掌墊 (特別柔軟)
4719003310530,4719003310530,,Microlife-BPA200 Blood Pressure Monitor 瑞士Microlife血壓計
ECO-3003,,,Microlife血壓計
IC2001,4719003310219,4719003310219,Microlife血壓計BP3AQ1
0000006,000006,,"Muliti-Purpose Therapy Gel Pack Box  4.5"" x 10.5"" with cover"
ABC00020,679090120020,,"Muliti-Purpose Therapy Gel Pack Box  4.5"" x 10.5"" with cover"
ABC0005,000005,,Multi-Purpose Therapy Wrap 多用途冷熱貼
0000009,679090230026,,Neck Rest (Large) 頸圈 (大)
0000008,000008,,Neck Rest (Regular) 頸圈
0000260,000192,,NEW日本內褲型防漏邊尿片
0000262,000193,,NEW日本內褲型防漏邊尿片
WH0002,4904585029370,,NEW日本內褲型防漏邊尿片L
WH0003,4904585029363,,NEW日本內褲型防漏邊尿片M
O000002,,,NOVOFINE筆針咀8mm
NP643,742137870643,,NP COMFY EYE REFRESHER
NP667,742137870667,,NP FLEXPOW FOOT COMFORTER
A0000104,000072,0000104,NRS英國穿襪器
0001026,4018839398867,,OFA AD 壓力襪-三骨 肉色 (中碼)
0000206,000152,,"OFA AD 壓力襪三骨 黑色 (中碼) COLSE"" 2""                     "
0000208,000154,,OFA AD 壓力襪四骨 黑色 (大碼) (280丹)
0000207,000153,,OFA AD 壓力襪四骨 黑色 (中碼) (280丹)
OFARM591,,,OFARM泰國有機香糙米1kg
OFARM2008,4719859745098,,OFARM純黑芝麻
OFARM0082,4897014722150,,OFARM純黑芝麻粉
NS-HEM-7051,4975479511424,4975479511424,OMRON歐姆龍手臂式血壓計7051
NS-MC-246,4975479527227,4975479527227,OMRON歐姆龍簡易探熱器
0000084,000056,,One-Touch電動開罐器 (特別版)
LCL1001,,,organic coconut oil
OFARM200801,,,ORGANNIC MIXED RICE
JJ02135601,4030841213563,,OTULTRAEASY血糖測試機（贈品）
RT00523,RT00523,,Pals 896 230 Gel Pand Oval(4X6cm) 4pcs
0000195,000141,,Pals Gel-Pad (4x6 cm)細?喱貼
PIC068771000,8058664017423,8058664017423,PIC Cream foot care diaetes
0000266,1011080003,,PIC One Check 手臂式電子血壓計
WH-0000269,000197,,PIC 胰島素注射筆針頭 (6mm)
PIC022620000,8003670916857,8003670916857,PIC 胰島素注射筆針頭 32G(4mm)
PIC229840000,,8003670108191,PIC 胰島素注射筆針頭31G (8mm)
PIC229830000,8003670765738,8003670765738,PIC 胰島素注射筆針頭32G (6mm)
PIC8003670863922,8003670863922,,PIC 胰島素注射筆針頭32G (8mm)
PIC990200209,1011312752,22000003092578,PIC 胰島素注射筆針頭32G Sample (4mm)
PIC990200009,22000003083514,1001512736,PIC 胰島素注射筆針頭32G Sample (6mm)
PIC990200109,22000003083521,1011512736,PIC 胰島素注射筆針頭32G Sample (8mm)
PIC022640000,8003670916871,8003670916871,PIC 胰島素注射筆針頭33G (4mm)
PIC990200309,22000003103656,1031511753,PIC 胰島素注射筆針頭33G Sample (4mm)
8003670913825,8003670913825,,PIC胰島素注射筆針頭G31x5mm(100s/box)
8003670072034,8003670072034,,PIC胰島素注射筆針頭G31x8mm(100s/box)
4895184103991,4895184103991,,QILLION ARTHRITIS WRAP
RT000000583,RT000000583,RT0000239,R & R  Decubitus Ulcer Cushion
RT0000211,RT0000211,RT00000582,R&R SU-8402 Air Rest Back Cushion座墊
00582,4710970380717,PD000000582,R&R SU-8402 Air Rest Back Cusion
0001024,,,R&R 冷熱肩墊敷 (SP-7207B) ( 42 X 36.6 CM)
RT0000212,RT0000212,4710970380625,R&R 冷熱肩墊敷 (SP-7207B) Cold/Hot Compress Pack( 42 X 36.5
0000212,4710970380014,,R&R 冷熱墊敷 (SP-7200)
0001022,,,R&R 冷熱墊敷 (SP-7200)
0001023,,,R&R 冷熱墊敷 (SP-7201) (28 X 12 CM)
RT0000213,RT0000213,4710970380021,R&R 冷熱墊敷 (SP-7201) Cold/Hot Pack(28 X 11 CM)
0000214,000160,,R&R 冷熱墊敷 (SP-7203) (32.5 X 18 CM)
RT0101,RT0101,,R&R冷熱肩28X11cm
000166XL,,,Robust (RB-1842) 加大碼
RT00021,RT00021,PD000000059,Robust RB-1714 多功能磁波健美帶 (M)
RT00020,RT00020,PD000000060,Robust RB-1714 多功能磁波健美帶 (大碼)
RT00019,RT00019,PD000000061,Robust RB-1714 多功能磁波健美帶 (加大碼)
0000238,000179,,Robust RB-1714 多功能磁波健美帶 (細碼)
RT00017L,RT00017L,000173,Robust RB-1845 遠紅外線背姿矯正帶 (大碼)
RT00016,RT00016,000174,Robust RB-1845 遠紅外線背姿矯正帶 (中碼)
RT00018,RT00018,000176,Robust RB-1845 遠紅外線背姿矯正帶 (加大碼)
RT00017,RT00017,000175,Robust RB-1845 遠紅外線背姿矯正帶 (細碼)
RT0000222,RT0000222,0000222,Robust 護肘  (RB-1842) 加大碼
00000165,,,Robust 護肘 (RB-1842) 大碼
RT0000220,RT0000220,0000220,Robust 護肘 (RB-1842) 大碼
RT000166,RT000166,000166,Robust 護肘 (RB-1842) 中碼
RT0000219,RT0000219,0000219,Robust 護腕 (RB-1841)
RT00011,RT00011,000168,Robust 護膝  (RB-1842) 大碼
RT00009,RT00009,000169,Robust 護膝  (RB-1842) 中碼
0000226,2010100111845,,Robust 護膝  (RB-1842) 細碼
RT00010,RT00010,000167,Robust 護膝 (RB-1843) 加大碼
RT00013,RT00013,000170,Robust 護踝 (RB-1844) 大碼
RT00014,RT00014,000171,Robust 護踝 (RB-1844) 中碼
RT00012,RT00012,2010100111844,Robust 護踝 (RB-1844) 加大碼
RT00015,RT00015,000172,Robust 護踝 (RB-1844) 細碼
RT-201612,RT-201612,,ROCK TRADExl
SS-RUO2E,7132894300546,,ROU02E長者八達通手錶-鋼
SS-RUO03E,7132894301154,,RUO03E長者八達通手錶-sparking silver
PIC229940000,8003670850816,8003670850816,Sate Container For Sharps Box
7000040,9556001125491,,SHARP LCD TV
32055665,4712967081355,,Shrimp Cracker蝦餅
SP-I-90840,4710958596710,,SILICON 矽膠3/4 鞋墊L
MC-SP-I-90840,4710958596741,4710958596741,SILICON 矽膠全墊39-40
0000165,4710958596680,,SILICON足跟墊（大）
SHC6666,4710958596666,,Silicon足跟墊S
NP900,,,Sleeping Mat
0000001,000001,,Small Universal Therapy Wrap 多用途冷熱貼(細)
CH2140145,,,SMartSilver指式脈搏血氧儀
RT31239,RT31239,4897020031239,Soft Collar
8005305900576,8005305900576,,Sole-初榨橄欖油500ml
SS02E,7573473308568,,SS長者八達通手錶-間玫瑰金
SS01E,7573473308636,,SS長者八達通手錶-鋼（L）
SS04E,7573473307400,,SS長者八達通手錶-鋼（L）
SS01EN,7132894301086,,SS長者八達通手錶-鋼Classic
SS03E,7573473307714,,SS長者八達通手錶-鋼MOP
RT-000000575,RT-000000575,000148,Takale 遠紅外線熱墊
0000202N,000148N,,Takale 遠紅外線熱墊(N)
846112000155,846112000155,,Tartufi Nacci 黑松露醬180g
846112000151,846112000151,,Tartufi Nacci白松露牛油80g
S9000,9556001125494,,TASTER
AT01,4008576300148,4008576300148,Titiania&Puma腳磨石
AT03,4008576316873,4008576316873,titiania指甲鉗
AT05,4008576330435,4008576330435,Titiania腳部潤膚膏250ML(5346)
AT02,4008576030250,4008576030250,TITIANIA腳部護理套裝
AT06,4008576530903,4008576530903,Titiania腳跟龜裂膏(5309)
AT04,4008576053303,4008576053303,"Titiania鞋部噴霧200ML, 5330"
0001018,9314839000912,,T-型可折疊拐杖
M0012,9556001125493,,UPEC Ultracal
JM-HE-1067,,,U型沐浴椅
RT00007,RT00007,000162,Verta fit Air Back Cusion 護背吹氣墊
TH-Y212VE,,,VIRJOY 紙巾*10
VIRJOY01,,,VIRJOY四卷裝萬用抹手紙
PIC068773000,8058664017447,8058664017447,Wash Foot Care Diabetes
RT000000731,RT000000731,9314839000935,WOLKE 7 Full Insole 全墊 (M)
RT000000737,RT000000737,,Wolke 7 Full Insole 全墊 (XL)
RT000000732,RT000000732,000136,Wolke 7 Full Insole 全墊（L)
RT000000734,RT000000734,,Wolke 7 Full Insole 全墊（S)
RT000000733,RT000000733,,Wolke 7 Full Insole 全墊（XS）
0001501,9314839000936,,Wolke 7 Full Insole全墊(XL)
QM0678,8997009510123,8997009510123,YOUC1000維他命水（香橙）500ml
QM0677,8997009510116,8997009510116,YOUC1000維他命水（檸檬）500ml
QM1002,8997009510055,8997009510055,YOUC1000維他命飲品（香橙）140ml
QM0999,8997009510017,8997009510017,YOUC1000維他命飲品（檸檬）140ml
QK9978,8997009510130,8997009510130,YOUC1000維他命飲品（蘋果）140ml
IPN05,,,一口花菇300g
32990546,4710774010902,,一口酥
CH009,,,一級幫厚型尿褲M-L
2013070101,,,七一回歸福袋
ID-MB001,MB001,,七天二十八格掀蓋式藥盒
ID-MB002,MB002,,七天二十八格彈出式藥盒
0000166,000117,,七日藥盒(一排裝)
32180091,4710696930999,,人蔘蜜棗茶
WH-HUM002A,,,人體工學腰墊
MS0003A,KC0816,,八角型環保手杖 什色
SS-AK02C,,,八達通表AK02C
SS-AK03C,,,八達通表AK03C
SS-TF01C,,,八達通表FR01C
SS-KT02C,,,八達通表KT02C
SS-TF03C,,,八達通表TF03C
4710783052184,4710783052184,,十全有機味增
4710783088725,4710783088725,,十全米醋240ml
TEAM04,,,十全即飲果醋140ml（青梅）24包/箱
TEAM02,,,十全即飲果醋140ml（葡萄）24包/箱
TEAM03,,,十全即飲果醋140ml（蜜桃）24包/箱
TEAM05,,,十全即飲果醋140ml（鳳梨）24包/箱
TEAM01,,,十全即飲果醋140ml（蘋果）24包/箱
4710783063074,4710783063074,,十全豆豉香魚辣椒110g
4710783063043,4710783063043,,十全金鉤朝天辣椒110g
NSF106,4710883102444,,十全紅菊腐乳
4710783088824,4710783088824,,十全烏醋240ml
NSF117,,,十全高粱醋
4710783066624,4710783066624,,十全-陳年醋600ml
4710783066419,4710783066419,,十全-黑芝麻油
4710783063128,4710783063128,,十全蒜蓉朝天辣椒
4710783088497,4710783088497,,十全辣豆瓣130g
4710783066112,,,十全辣椒油100ml
NSF105,,,十全辣椒油500ml
4710783088480,4710783088480,,十全辣椒醬130g
TEAM-TAI112,4717011471946,,卜立有機紅藜麥面240g
TEAM-TAI085,4717011470246,,卜立紅豆水16包入
8000001,9556001125483,,三吋雙人連鐵架床(愛心咭代訂)
4713282763209,4713282763209,,三色堅果（袋裝）
4713282763148,4713282763148,,三色提子乾（袋裝）
M0101,4710498993307,4710498993307,三花柏齡（800g）
M0016,4710498993314,,三花柏齡1.7L
M0004,9556001125477,,三花柏齡1.8kg
TEAM-SNL084,4713072172822,,三星蔥鮮蛋卷
0000036,4010038,,三層口罩（50個/盒）
ID-FM001,4560369411405,4560369411405,三層外科口罩50pcs/Box
ID-FM001-1,FM001-1,,三層外科口罩50psc/box(獨立包裝）
LCL0033,4711601950217,,三機有機大燕麥片
3800026,6816603,6816603,凡士林
0000087,000058,,口罩 (一盒 50 個? )
32054446,4712967081898,,土芒果青鮮果乾
4712417850036,4712417850036,,土芭樂茶
4713327001716,4713327001716,,土芭樂茶
9101,9556001125504,,士的掛鉤
0000272,000200,,"大四爪拐杖 , 可詷較高度"
4710883104288,4710883104288,4710883104288,大同牌干貝醬（優惠裝）
NSF120,,,大同辣椒醬
4710883102741,,,大同蔭油膏(素蠔油）
35010043,,,大地采護髮粉(紅褐)#1
35010050,,,大地采護髮粉(棕咖啡)#2
35010036,,,大地采護髮粉(黑咖啡)#3
0000140,000098,,大紅紋
4712834114339,4712834114339,,大馬士革玫瑰花綠茶
0000007,000007,,"大幅冷熱貼 ( 10"" x 15"")                                     "
RT13954,RT13954,4716073813954,小地雷足部按摩器
LCL0016,,,小紅梅粉
32191622,4711601970758,,小麥胚芽（鈺統）500g
OFARM1711,,,小麥胚芽餅
GREENSPARK-02,,,小麥餐具三件套
32040937,4712052015104,,小麻酥
GHSE1121,4891690000620,,小碳包
GW-0001,,,小蘇打
NK005,6927255479921,,山里友壓縮黑木耳（25克X10盒）
LCL0009,4711601980078,,山藥紅薏仁粉
LCL6583,4712067896583,4712067896583,山藥精華
4713327124088,4713327124088,,山藥養生燕麥粉
4710960911082,4710960911082,4710960911082,山藥薏仁粉（12小包）
4710960761083,4710960761083,4710960761083,山藥薏仁粉（獨立小包）
OFARM-1051,4897014722310,,山藥薏仁粉400g
RICE,,,中興米（禮品裝）
JSM-ABAM2,5703538759499,5703538759499,丹麥高級成人尿片
32020212,4710175567159,,五木銀絲麵
43398111147,433311147,,五谷米
32053098,4711202223772,4711202223772,五穀雜糧瑪仔
4710871000899,4710871000899,4710871000899,五轂米（1.2kg）
LCL0032A,4711601148218,4711601148218,什錦大燕麥
SOUP01,,,仁愛堂環保肥皂（三色）
32180947,4711574557949,,元豆有機黑豆漿
RT00023,RT00023,000183,元氣小滾輪按摩器
4712834112441,,,六味青草海燕窩
ML05,4719860580015,4719860580015,天星牌花卉種子
ML04,4719860580039,4719860580039,天星牌香草種子
32190519,,,天然GABA佳葉龍茶 - 無農葯栽培
0001114,4891690000613,,天然小紅莓
LCL00021,,,天然小麥草
LCL0021,,,天然小麥草
32240528,4710336105725,,天然加味四物料
32181050,4710336104315,,天然甘蔗汁 320ml
0001120,4891690000619,,天然皮蛋
4713720001795,4713720001795,,天然皮蛋
NK004,6925843403679,,天然有機醬油
NICE-RT015,7296077000187,,天然死海礦物浴鹽
35010661,,,天然沐浴乳
4713282760628,4713282760628,,天然亞麻仁籽
32054958,4710425201505,,天然洋芋卷
35020226,,,天然洗衣皂
GT9068,8858358009068,8858358009068,天然秋葵乾
32181579,,,天然紅石榴西梅汁
32181340,,,天然紅石榴車厘子汁
32181357,,,天然紅石榴藍莓汁
OFARM941,,,天然原焗美國杏仁（無鹽）
OFARM931,,,天然原焗腰果
0001111,4891690000610,,天然海鹽
OFARM072,4897014722235,,天然純杏仁粉400g
32181210,,,天然純紅石榴汁
OFARM1761,4897014727353,,天然高鈣多轂燕麥奶800g
OFARM1611,4897014725434,,天然高鈣高纖燕麥奶800g
32060645,4712511473513,,天然超大葡萄乾(無籽)
32080018,,,天然黃豆
32191295,,,天然黃金穀粉
LCL0014,4711601111151,4711601111151,天然黑麥片
32180244,4002631992002,,天然黑麥汁
32060706,,,天然黑櫻桃乾
32240382,4712511473544,,天然補氣茶
LCL905,4719778005129,4719778005143,天然酵母野菜餅
32060638,,,天然蔓越莓乾
32180077,,,天然養生露
LCL0015,,,天然燕麥麩粒
34040010,,,天然檜木精油
NICE-RT014,7296077010353,,天然礦物修護手霜
T-A006,4897047950018,,天然蘆薈牙膏
WH00026,4897002233675,,天然蘆薈柔濕紙
T-A005,4897047950025,,天然蘆薈凝膠
32140200,,,天然蘿蔔乾 - 無農葯栽培
0001100,4891690000602,,太陽能手電筒
0000046,000026,,心之花露水100ml（薰衣草）
GW005,,,心型皂
0001094,356201202100271,356201202381723,心意手機
32990478,4712688793797,,手工米旦卷禮盒咖啡味
32990485,4712688793803,,手工米旦卷禮盒芝麻味
CH02030044,4897012641101,,文化村全自動手臂式電子血壓計
0000020,4897012640814,,文化村長通粉  500g
CH0016,4897012641064,,文化村指式脈搏血氧儀
CH01030120,,,文化村輕便手推輪椅
CH05120047,4897012640760,,文化面-意粉500g
32191318,,,文旦柚茶
32052633,4711202223123,,文旦柚酥 (5件)
GIFT201701,,,文具套裝（1尺+1擦膠+1得意水筆）
32040036,4710774010254,,方塊酥
32041606,4710774011039,,方塊酥（新包裝）
4712834112496,4712834112496,,日月潭紅茶小黑糖
CH01010147,4971633711754,,日本一級幫內褲型中碼（金裝）成人紙尿褲（10片）
CH0012,4971633711259,,日本一級幫內褲型成人紙尿褲(金裝)大碼(16片/包)
CH0011,4971633712461,4971633712461,日本一級幫內褲型成人紙尿褲(金裝)中碼(18片/包)
CH0012U,4971633711266,,日本一級幫內褲型成人紙尿褲(金裝獨立包-贈品)大碼
CH0011U,4971633711242,,日本一級幫內褲型成人紙尿褲(金裝獨立包-贈品)中碼
CH0010,4971633711297,,日本一級幫內褲型成人紙尿褲(薄型)大碼(14片/包)
CH0009,4971633711273,,日本一級幫內褲型成人紙尿褲(薄型)中碼(16片/包)
0001014U,,,日本一級幫內褲型成人紙尿褲(薄型獨立包)中碼
CH0010U,4971633711303,,日本一級幫內褲型成人紙尿褲(薄型獨立包-贈品)大碼
0000105,000073,,日本保達紙尿褲--中碼
0000106,000074,,日本保達紙尿褲--細碼
CH0019,4987603354876,4987603354876,日本喜舒樂成人紙尿褲(厚裝)-中碼
97A,,,日本喜舒樂成人紙尿褲-大碼
CH10198,4987603354975,,日本喜舒樂成人紙尿褲-大碼
CH0019A,,,日本喜舒樂成人紙尿褲-中碼
35020219,,,水晶肥皂食器洗滌液体
35020172,,,水晶肥皂粉體
35020202,,,水晶肥皂液體
35020295,,,水晶肥皂液體補充包
4712834113523,4712834113523,,水蜜桃鳳梨茶
GBF5021,8850987369087,,牛油曲奇餅
CORN01,024000163022,,牛油粟米
4711402033065,4711402033065,,牛軋糖250g
LCL0041,4719865061748,,牛蒡片
32053197,4712839980618,,牛蒡原片 100g
4713327001723,4713327001723,,牛蒡茶
4712679010087,4712679010087,,牛蒡茶450g
